Movie #	Title	Year	Duration	IMDB Rating	Directors	Actors	Producers	Genres	Countries	Production Companies	Awards	Plot Summary	Remark	Movie_ID	budget	genres	homepage	id	keywords	original_language	original_title	overview	popularity	production_companies	production_countries	release_date	revenue	runtime	spoken_languages	status	tagline	title	vote_average	vote_count	title_norm	Data_Source
11	Forrest Gump	1994	145 minutes		Famous Director	Tom Hanks | Robin Wright | Gary Sinise	Famous Producer	Drama | Romance	United States	Paramount Pictures	6 Academy Awards including Best Picture	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1994.	11	25000000	"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]"		278	"[{""id"": 378, ""name"": ""prison""}, {""id"": 417, ""name"": ""corruption""}, {""id"": 796, ""name"": ""police brutality""}, {""id"": 2885, ""name"": ""prison cell""}, {""id"": 4779, ""name"": ""delinquent""}, {""id"": 8622, ""name"": ""parole board""}, {""id"": 9777, ""name"": ""escape from prison""}, {""id"": 12662, ""name"": ""wrongful imprisonment""}, {""id"": 180172, ""name"": ""framed for murder""}, {""id"": 207883, ""name"": ""1940s""}]"	en	The Shawshank Redemption	"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."	136.747729	"[{""name"": ""Castle Rock Entertainment"", ""id"": 97}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1994/9/23	28341469	142	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	Fear can hold you prisoner. Hope can set you free.	The Shawshank Redemption	8.5	8205	shawshank redemption	none
12	Inception	2010	100 minutes		Famous Director	Leonardo DiCaprio | Joseph Gordon-Levitt | Elliot Page	Famous Producer	Action | Adventure | Sci-Fi	United States	Warner Bros. | Legendary Pictures	4 Academy Awards | BAFTA Award for Best Production Design	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 2010.	12	18000000	"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]"	http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back	1891	"[{""id"": 526, ""name"": ""rebel""}, {""id"": 803, ""name"": ""android""}, {""id"": 1423, ""name"": ""asteroid""}, {""id"": 2902, ""name"": ""space battle""}, {""id"": 3373, ""name"": ""snow storm""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 10016, ""name"": ""lightsaber""}, {""id"": 10527, ""name"": ""jedi""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 11196, ""name"": ""rebellion""}, {""id"": 160134, ""name"": ""the force""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 178710, ""name"": ""stormtrooper""}, {""id"": 210346, ""name"": ""wookie""}, {""id"": 232452, ""name"": ""jedi master""}, {""id"": 232453, ""name"": ""jedi training""}, {""id"": 232454, ""name"": ""droid""}]"	en	The Empire Strikes Back	"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."	78.51783	"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1980/5/17	538400000	124	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	The Adventure Continues...	The Empire Strikes Back	8.2	5879	empire strikes back	none
13	Star Wars: Episode V - The Empire Strikes Back	1980	127 minutes		Famous Director	Mark Hamill | Harrison Ford | Carrie Fisher	Famous Producer	Action | Adventure | Fantasy	United States	Lucasfilm	Academy Award for Best Sound	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1980.	13	19000000	"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"		274	"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 8087, ""name"": ""horror""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 12565, ""name"": ""psychological thriller""}, {""id"": 14895, ""name"": ""cannibal""}, {""id"": 18525, ""name"": ""fbi agent""}, {""id"": 33872, ""name"": ""animal in cast credits""}, {""id"": 208048, ""name"": ""cannibalism""}]"	en	The Silence of the Lambs	"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose."	18.174804	"[{""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""Strong Heart/Demme Production"", ""id"": 55072}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1991/2/1	272742922	119	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	To enter the mind of a killer she must challenge the mind of a madman.	The Silence of the Lambs	8.1	4443	silence of the lambs	none
14	The Matrix	1999	161 minutes		Famous Director	Keanu Reeves | Laurence Fishburne | Carrie-Anne Moss	Famous Producer	Action | Sci-Fi	United States	Warner Bros. | Village Roadshow Pictures	4 Academy Awards | BAFTA Award for Best Sound	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1999.	14	13000000	"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]"		240	"[{""id"": 700, ""name"": ""italo-american""}, {""id"": 701, ""name"": ""cuba""}, {""id"": 1950, ""name"": ""vororte""}, {""id"": 4232, ""name"": ""melancholy""}, {""id"": 6049, ""name"": ""praise""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 156024, ""name"": ""corrupt politician""}, {""id"": 158261, ""name"": ""bloody body of child""}, {""id"": 187788, ""name"": ""man punches woman""}]"	en	The Godfather: Part II	"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."	105.792936	"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""The Coppola Company"", ""id"": 536}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1974/12/20	47542841	200	"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]"	Released	"I don't feel I have to wipe everybody out, Tom. Just my enemies."	The Godfather: Part II	8.3	3338	godfather part 2	none
15	Goodfellas	1990	137 minutes		Famous Director	Robert De Niro | Ray Liotta | Joe Pesci	Famous Producer	Biography | Crime | Drama	United States	Warner Bros.	Academy Award for Best Supporting Actor	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1990.	15	8000000	"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]"		680	"[{""id"": 396, ""name"": ""transporter""}, {""id"": 1411, ""name"": ""brothel""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 2792, ""name"": ""boxer""}, {""id"": 4076, ""name"": ""massage""}, {""id"": 8627, ""name"": ""stolen money""}, {""id"": 9730, ""name"": ""crime boss""}, {""id"": 10104, ""name"": ""dance contest""}, {""id"": 11242, ""name"": ""junkyard""}, {""id"": 11423, ""name"": ""kamikaze""}, {""id"": 11434, ""name"": ""ambiguous ending""}, {""id"": 11435, ""name"": ""briefcase""}, {""id"": 11436, ""name"": ""redemption""}, {""id"": 11442, ""name"": ""heirloom""}, {""id"": 11446, ""name"": ""pulp fiction""}, {""id"": 11447, ""name"": ""reference to al green""}, {""id"": 14604, ""name"": ""theft""}, {""id"": 14707, ""name"": ""brutality""}]"	en	Pulp Fiction	"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."	121.463076	"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""A Band Apart"", ""id"": 59}, {""name"": ""Jersey Films"", ""id"": 216}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1994/10/8	213928762	154	"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]"	Released	Just because you are a character doesn't mean you have character.	Pulp Fiction	8.3	8428	pulp fiction	none
16	One Flew Over the Cuckoo's Nest	1975	162 minutes		Famous Director	Jack Nicholson | Louise Fletcher | Will Sampson	Famous Producer	Drama	United States	Fantasy Films	5 Academy Awards including Best Picture	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1975.	16	6000000	"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]"	http://www.thegodfather.com/	238	"[{""id"": 131, ""name"": ""italy""}, {""id"": 699, ""name"": ""love at first sight""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 4677, ""name"": ""patriarch""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 11590, ""name"": ""italian american""}, {""id"": 33421, ""name"": ""crime family""}, {""id"": 165725, ""name"": ""rise to power""}, {""id"": 166462, ""name"": ""mob boss""}, {""id"": 207883, ""name"": ""1940s""}]"	en	The Godfather	"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."	143.659698	"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Alfran Productions"", ""id"": 10211}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1972/3/14	245066411	175	"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]"	Released	An offer you can't refuse.	The Godfather	8.4	5893	godfather	none
17	Seven	1995	156 minutes		Famous Director	Morgan Freeman | Brad Pitt | Kevin Spacey	Famous Producer	Crime | Drama | Mystery	United States	New Line Cinema	MTV Movie Award for Best Movie	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1995.	17	3000000	"[{""id"": 18, ""name"": ""Drama""}]"		510	"[{""id"": 30, ""name"": ""individual""}, {""id"": 526, ""name"": ""rebel""}, {""id"": 1824, ""name"": ""self-destruction""}, {""id"": 2564, ""name"": ""wheelchair""}, {""id"": 2574, ""name"": ""lunatic asylum""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 3927, ""name"": ""rage and hate""}, {""id"": 6089, ""name"": ""freedom""}, {""id"": 6255, ""name"": ""insanity""}, {""id"": 6334, ""name"": ""basic rights and human rights""}, {""id"": 15106, ""name"": ""psychiatrist""}]"	en	One Flew Over the Cuckoo's Nest	"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched."	127.525581	"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Fantasy Films"", ""id"": 286}, {""name"": ""Warner Bros."", ""id"": 6194}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1975/11/18	108981275	133	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	"If he's crazy, what does that make you?"	One Flew Over the Cuckoo's Nest	8.2	2919	one flew over the cuckoo s nest	none
18	The Silence of the Lambs	1991	162 minutes		Famous Director	Jodie Foster | Anthony Hopkins | Scott Glenn	Famous Producer	Crime | Drama | Thriller	United States	Orion Pictures	5 Academy Awards including Best Picture	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1991.	18	3180000	"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]"		1585	"[{""id"": 65, ""name"": ""holiday""}, {""id"": 290, ""name"": ""angel""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 974, ""name"": ""bank""}, {""id"": 1252, ""name"": ""suicide attempt""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 5570, ""name"": ""christmas tree""}, {""id"": 5571, ""name"": ""great depression""}, {""id"": 33965, ""name"": ""christmas eve""}, {""id"": 156115, ""name"": ""feel-good ending""}, {""id"": 184559, ""name"": ""guardian angel""}, {""id"": 207317, ""name"": ""christmas""}]"	en	It's a Wonderful Life	"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin."	42.868495	"[{""name"": ""RKO Radio Pictures"", ""id"": 6}, {""name"": ""Liberty Films (II)"", ""id"": 11770}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1946/12/20	9644124	130	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	It's a wonderful laugh! It's a wonderful love!	It's a Wonderful Life	8	1076	it s a wonderful life	none
19	It's a Wonderful Life	1946	158 minutes		Famous Director	James Stewart | Donna Reed | Lionel Barrymore	Famous Producer	Drama | Family | Fantasy	United States	Liberty Films	Golden Globe for Best Director | 5 Oscar nominations	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1946.	19	350000	"[{""id"": 18, ""name"": ""Drama""}]"		389	"[{""id"": 934, ""name"": ""judge""}, {""id"": 1417, ""name"": ""jurors""}, {""id"": 2118, ""name"": ""sultriness""}, {""id"": 2122, ""name"": ""death penalty""}, {""id"": 2123, ""name"": ""father murder""}, {""id"": 2124, ""name"": ""puerto rican""}, {""id"": 2142, ""name"": ""anonymity""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 3772, ""name"": ""heat""}, {""id"": 6040, ""name"": ""group""}, {""id"": 6069, ""name"": ""class""}, {""id"": 6139, ""name"": ""innocence""}, {""id"": 6148, ""name"": ""court""}, {""id"": 33519, ""name"": ""courtroom""}]"	en	12 Angry Men	"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."	59.259204	"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Orion-Nova Productions"", ""id"": 10212}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1957/3/25	1000000	96	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	Life is in their hands. Death is on their minds.	12 Angry Men	8.2	2078	12 angry men	none
20	Parasite	2019	99 minutes		Famous Director	Song Kang-ho | Lee Sun-kyun | Cho Yeo-jeong	Famous Producer	Comedy | Drama | Thriller	United States	CJ Entertainment | Barunson E&A	4 Academy Awards including Best Picture | Palme d'Or at Cannes	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 2019.	20																						none
